Association,Resource Name,Link to Resource
Regional Resources,Philadelphia Mutual Aid Request Form,https://docs.google.com/forms/d/e/1FAIpQLSf4tHQTrOG0DDh6hytdw8rdN7sFkm74Q1yMii2YeOLis2qNvA/viewform
Regional Resources,New York City Mutual Aid Document,https://docs.google.com/document/d/1aevxXYQgeP-uJa0eSI0YYIJKZBNkn-6Rjy_fY7zpRLo/mobilebasic?fbclid=IwAR3eQWmAXG6GxxQ68hgqOSknBwcia75eHz14m5ifNZLLppBRDBUWblXRd1o 
Harvard University,Harvard Graduate Student Mutual Aid Form,tinyurl.com/hgsuCOVID19aid
Williams College,Williams Mutual Aid Spreadsheet,https://docs.google.com/spreadsheets/d/1JCcB2Pov2xLAy6z8_Q0X5BvdtTPRrpKgaaOpYnAUhQg/edit?fbclid=IwAR14zHRtadts7tGxSYgFdUYGg51_hP4kaLNhzFORTh6bpXhZxhtPzcUIiyk#gid=1727309836
Middlebury College,Middlebury Mutual Aid Spreadsheet,https://docs.google.com/spreadsheets/d/1HOu_V_SIJW8xadTbnOKSHNfimcj1YfIsz2NhPD3mT2k/edit?fbclid=IwAR3CahwLW_oyiRxzNk5L6wai5fnqBmSYobIQ2s9DPms1TPDBEtSoQBXp2hg#gid=1727309836
Massachusetts Institute of Technology,MIT Alumni Support Form,https://docs.google.com/forms/d/e/1FAIpQLScmkT6BXXK3tXRuQsvoOQR5tpWQwul4S8amQFpYjrjkARLpPQ/viewform?fbclid=IwAR2UUPGLb4lZ2_GuE03oyDVj_duhPjuCekwHNAGYggAsos3PRHlOaUd1aAU
Massachusetts Institute of Technology,MIT Support Request Form,https://docs.google.com/forms/d/e/1FAIpQLSesgW-KrpRH8qYqmUs97OhrjXv04rCoSL0Q1klOCoHWHo9BIQ/viewform
Tufts University,Tufts Mutual Aid Spreadsheet,https://docs.google.com/spreadsheets/d/1IchjwasMn7kc4kv4TalIN_XcY8ya0WPJZIEH4_0W4DE/edit?fbclid=IwAR3EAgwFyq7M1PcWG_AoSc1SX0Yy-f9q5RBBckiAsVPivNKUiArxSRsC52Q#gid=1279937788
Tufts University,Tufts Emergency Fund,https://crowdfund.tufts.edu/project/20367/wall
Wellesley College,Wellesley Moveout Financial Aid,https://wellesley.starrezhousing.com/StarRezPortal/F3C785E9/8/9/Wellesley_Housing_Ho-Home?UrlToken=975C3CB0
Boston College,BC Mutual Aid Spreadsheet,https://docs.google.com/spreadsheets/d/1liZ8TQ6LjjxdgHtt8ibZlqjMXOTB1zJ4HiRcVWq8DeI/edit?ts=5e7122a2#gid=1849705481
Boston College,BC Graduation Postponement Petition,https://www.change.org/p/boston-university-let-boston-university-s-class-of-2020-have-a-graduation
Haverford College,Haverford Credit/No Credit Petition,https://www.change.org/p/haverford-college-president-wendy-raymond-dean-s-office-haverford-college-covid-19-credit-no-credit-semester
Bryn Mawr College,Bryn Mawr Credit/No Credit Petition,https://www.change.org/p/bryn-mawr-college-president-kimberly-cassidy-and-deans-office-bryn-mawr-college-covid-19-credit-no-credit-spring-semester
Northeastern University,NU Temporary Class Suspension Petition,https://www.change.org/p/northeastern-university-administration-suspend-northeastern-classes-until-the-hysteria-ends
Northeastern University,NU Pass/Fail Petition,https://www.change.org/p/northeastern-university-northeastern-make-classes-pass-fail-for-spring-2020
Northeastern University,NU Postpone Graduation Petition,https://www.change.org/p/northeastern-2020-graduates-postpone-northeastern-university-graduation-instead-of-virtual-graduation
Northeastern University,NU COVID Contacts Sheet,https://news.northeastern.edu/coronavirus/key-contacts/
Columbia University,Columbia $500 Aid for Students,https://preparedness.columbia.edu/news/update-covid-19-0
Columbia University,Columbia Pass/Fail Petition,https://www.change.org/p/columbia-university-pass-fail-grading-option-at-columbia-barnard
New York University,NYU Housing Petition,https://www.change.org/p/nyu-students-nyu-students-response-to-covid-19-housing-closure?recruiter=1053024862&utm_source=share_petition&utm_medium=facebook&utm_campaign=psf_combo_share_initial&recruited_by_id=7fbdd160-67fb-11ea-a1c9-61fdde2aec90
Brandeis University ,Brandeis Mutual Aid Form(1st gen/ low-income students),https://docs.google.com/forms/d/e/1FAIpQLSffWkX7nJAXVbFGbsTMAuxrxe7tWM1tdeM1qfsMGxFzDj05fw/viewform?fbclid=IwAR3nYYFgZvjtnfGiIgcGbuukuB9-ori8OB-MrLLWc1oxI3HvUId637OJAj8
Barnard University,Barnard Mutual Aid Spreadsheet,https://docs.google.com/spreadsheets/d/1OVUJRHhoA67H4uq1Qv8D8W4-rQ1uYvMbSeRSRGBI6Gk/htmlview?fbclid=IwAR0ga5wHWhZVRgl7tliiy9MM3hQH-BxeyTC2Crl37XFGzCS_UxFAPprA6bI
Cornell University,Cornell Mutual Aid Spreadsheet,https://docs.google.com/spreadsheets/d/1jWoDRMvJI_HxjO_iEUffwTUlR3z3uhvzpgQbK24Il1U/edit#gid=0
Cornell University,Cornell Emergency Fund,https://docs.google.com/forms/d/e/1FAIpQLSfRlx0E9tmmvEdm2yrsQwswjX_oESHDt6M4eoS6_8TtACeOKw/viewform
Swarthmore College,Swarthmore Mutual Aid Spreadsheet,https://docs.google.com/spreadsheets/d/12pI7Yb3qq2dkd7F7xJib9tDShoFHZNNTNYPQvtv7LBU/edit#gid=1727309836
Swarthmore College,Swarthmore Student Aid Venmo Form,https://docs.google.com/forms/d/e/1FAIpQLSfN87kH-ZejD1883hpa-WEtiwCUIKCdC8neq5FMXPYV6luYTg/viewform
Unity College,Unity Mutual Aid Facebook Group,https://www.facebook.com/groups/1391041531133268/
