Association,Resource Name,Link to Resource
Regional Resources,Chicago Mutual Aid Form (Volunteer),https://docs.google.com/forms/d/e/1FAIpQLSd0MK1dnny1BTlzvohuRlnlC6fHqXKqez0hrZJLuZ6F4-qu9w/viewform
Regional Resources,Chicago Queer and Trans Mutual Aid Form (Volunteer),https://docs.google.com/forms/d/e/1FAIpQLSeFuaFQMR4SE3M7wbiB8FR0JOxOMzYXcBxhF6Yi_7MEcMMsFQ/viewform
Regional Resources,Rockford Mutual Aid Form (Volunteer),https://docs.google.com/forms/d/e/1FAIpQLSftFSaJCKiGiF8rjuZg3eXa4KMW_Uo-pVZP21GPnz-DiNk_1Q/viewform
Regional Resources,Champaign County Food Distribution Form (Volunteer),https://docs.google.com/forms/d/e/1FAIpQLScMZ3xVsTHWLEqoQc7bssA3wk7p5SffUpohZk8-nEA26k2vwg/viewform?fbclid=IwAR0GNn_Bg3i-a_7vZZaqgqbxAvFeF8OIhPnICxVjfDvON7rgIiUehEIj0-k
Regional Resources,Champaign-Urbana Mutual Aid Facebook Page,https://www.facebook.com/groups/783673498631146/
Regional Resources,Springfield Area Mutual Aid Facebook Page,https://www.facebook.com/groups/SpringfieldHelp/ 
Regional Resources,Grand Rapids Mutual Aid Form,https://docs.google.com/forms/d/e/1FAIpQLSfE599iT3ERP64rcKgxRzRRVI_1P8mhyJsIZjWjTwDvTV9_nA/viewform?fbclid=IwAR106mIyZF4wW2uR1uT5yMmpczb1WIgItnwBmOa-oimsr3I1QkIUZ5X1dPw
Regional Resources,Grand Rapids Area Mutual Aid Facebook Page,https://www.facebook.com/GRAMutAid/
Regional Resources,Grand Rapids Area Mutual Aid Fund (Volunteer),https://www.paypal.com/pools/c/8nkfBWx7oe
Regional Resources,Washtenaw County Mutual Aid Facebook Page,https://www.facebook.com/groups/2424471741198383/?ref=share
Regional Resources,Ypsilanti Mutual Aid Facebook Page,https://www.facebook.com/ypsimutualaid
Regional Resources,Kalamazoo Mutual Aid Form (Request),https://docs.google.com/forms/d/e/1FAIpQLSeW-Dmt_Z_QPu81ad0jo5gs4vjx2zREupOmdoLnn2JBntapGg/viewform
Kalamazoo College,Kalamazoo Mutual Aid Spreadsheet,https://docs.google.com/spreadsheets/d/1DUPnD0fuFHG8ZCdL0rfICaQiNT-ax4v3577yE3nJabs/edit?fbclid=IwAR2gapVE2G02Vrv68UAE9bjmpspGs6U73NI7QigwWVRqRFJ9E8J941YzS0s#gid=0
University of Chicago,Uchicago Mutual Aid Facebook Group,https://www.facebook.com/groups/1290114234516495/about
University of Michigan (Huron Valley),Umich (Huron Valley) Mutual Aid Spreadsheet,https://docs.google.com/spreadsheets/d/1tam5kDoNkIC18YX9QEFVP_s0psLUxGKm31EQkahcIqE/edit?fbclid=IwAR1k79r-7aJ55om5SZwFi_698iJZKvkkJkNPQ9WCKJue5T8lzPmNdignD14#gid=1727309836
